tick: 473.0,             Human number: 0,             Zombie number: 105
tick: 474.0,             Human number: 0,             Zombie number: 105
tick: 475.0,             Human number: 0,             Zombie number: 105
tick: 476.0,             Human number: 0,             Zombie number: 105
tick: 477.0,             Human number: 0,             Zombie number: 105
tick: 478.0,             Human number: 0,             Zombie number: 105
tick: 479.0,             Human number: 0,             Zombie number: 105
tick: 480.0,             Human number: 0,             Zombie number: 105
tick: 481.0,             Human number: 0,             Zombie number: 105
tick: 482.0,             Human number: 0,             Zombie number: 105
tick: 483.0,             Human number: 0,             Zombie number: 105
tick: 484.0,             Human number: 0,             Zombie number: 105
tick: 485.0,             Human number: 0,             Zombie number: 105
tick: 486.0,             Human number: 0,             Zombie number: 105
tick: 487.0,             Human number: 0,             Zombie number: 105
tick: 488.0,             Human number: 0,             Zombie number: 105
tick: 489.0,             Human number: 0,             Zombie number: 105
tick: 490.0,             Human number: 0,             Zombie number: 105
tick: 491.0,             Human number: 0,             Zombie number: 105
tick: 492.0,             Human number: 0,             Zombie number: 105
tick: 493.0,             Human number: 0,             Zombie number: 105
tick: 494.0,             Human number: 0,             Zombie number: 105
tick: 495.0,             Human number: 0,             Zombie number: 105
tick: 496.0,             Human number: 0,             Zombie number: 105
tick: 497.0,             Human number: 0,             Zombie number: 105
tick: 498.0,             Human number: 0,             Zombie number: 105
tick: 499.0,             Human number: 0,             Zombie number: 105
tick: 500.0,             Human number: 0,             Zombie number: 105
tick: 501.0,             Human number: 0,             Zombie number: 105
tick: 502.0,             Human number: 0,             Zombie number: 105
tick: 503.0,             Human number: 0,             Zombie number: 105
tick: 504.0,             Human number: 0,             Zombie number: 105
tick: 505.0,             Human number: 0,             Zombie number: 105
tick: 506.0,             Human number: 0,             Zombie number: 105
tick: 507.0,             Human number: 0,             Zombie number: 105
tick: 508.0,             Human number: 0,             Zombie number: 105
tick: 509.0,             Human number: 0,             Zombie number: 105
tick: 510.0,             Human number: 0,             Zombie number: 105
tick: 511.0,             Human number: 0,             Zombie number: 105
tick: 512.0,             Human number: 0,             Zombie number: 105
tick: 513.0,             Human number: 0,             Zombie number: 105
tick: 514.0,             Human number: 0,             Zombie number: 105
tick: 515.0,             Human number: 0,             Zombie number: 105
tick: 516.0,             Human number: 0,             Zombie number: 105
tick: 517.0,             Human number: 0,             Zombie number: 105
tick: 518.0,             Human number: 0,             Zombie number: 105
tick: 519.0,             Human number: 0,             Zombie number: 105
tick: 520.0,             Human number: 0,             Zombie number: 105
tick: 521.0,             Human number: 0,             Zombie number: 105
tick: 522.0,             Human number: 0,             Zombie number: 105
tick: 523.0,             Human number: 0,             Zombie number: 105
tick: 524.0,             Human number: 0,             Zombie number: 105
tick: 525.0,             Human number: 0,             Zombie number: 105
tick: 526.0,             Human number: 0,             Zombie number: 105
tick: 527.0,             Human number: 0,             Zombie number: 105
tick: 528.0,             Human number: 0,             Zombie number: 105
tick: 529.0,             Human number: 0,             Zombie number: 105
tick: 530.0,             Human number: 0,             Zombie number: 105
tick: 531.0,             Human number: 0,             Zombie number: 105
tick: 532.0,             Human number: 0,             Zombie number: 105
tick: 533.0,             Human number: 0,             Zombie number: 105
tick: 534.0,             Human number: 0,             Zombie number: 105
tick: 535.0,             Human number: 0,             Zombie number: 105
tick: 536.0,             Human number: 0,             Zombie number: 105
tick: 537.0,             Human number: 0,             Zombie number: 105
tick: 538.0,             Human number: 0,             Zombie number: 105
